,Headings,Content,Stars,headingSentiment,headingSentimentScore,contentSentiment,contentSentimentScore
39,"

                        Ola have tried to take me for a fool
                
","
                Ola have tried to take me for a fool. I do not recommend this app at all, the customer 'care' team on the phone and via email have been absolutely terrible too and have robbed me of my money!!this saga began as the driver who accepted my ride drove past me as I waited at my location/ designated pick up point off the main road.  Where i was, and the address in the app was all correct and matched.I waited patiently with my mask on in the freezing cold and feeling extremely fatigued as I literally saw the driver go past me. (All of this is recorded via GPS on the app)I messaged the driver telling him he went past me, and to please turn around to pick me up at the correct place. The driver messaged back saying he can't pick up on a main road - however, i was not on a main road and neither was the pick up point. This did response made no sense. Instead of simply turning around, the driver cancelled my ride charging me a £6 fee for 'violating covid-regulations'. this action is petty, clearly the driver didn't take my basic request for the actual service I am paying for: of picking me up where i was!I phoned the 'customer care' line which was a complete waste of time. The 'advisor' refused to refund my money or even take me seriously, gaslighting me by telling me i was 'breaking covid violations'. I literally had a mask on as i waited at the EXACT spot the driver was to pick me up from. Instead of doing the right thing and refunding me, the 'advisor' talked about how the 'system won't allow a refund' which is clearly a lie - then he sent me a £6 voucher code expiring within a month! This is not the same as putting the money you have stolen out of my bank account under false grounds! I also said i had no plans to take another ola within the next month, (or ever again lets be honest!) resulting in the voucher being of no use whatsoever!I then emailed this complaint to their 'customer care' team- which has been another fiasco. Fobbing me off and refusing to refund me, or even take my complaint seriously. I replied, asking them to describe their 'evidence' of their made up false accusation of me not 'following covid regulations' and i also asked them to check the app GPS to see the proof of the driver literally driving past me and not being at the pick up point. Predictably, i have not received a reply to this email. I have sent 2 subsequent follow up and have heard nothing back. They are ignoring my complaint. I was waiting, on a street corner at night, heavily fatigued and i just wanted to get home. I can't take public transport due to the health risks and travel bans, and OLA has no sense of service or moral compass.
            ",1,NEGATIVE,0.9983705878257751,NEGATIVE,0.9999951124191284
40,"

                        Exceptionally bad app!
                
","
                Exceptionally bad app!! It did not apply the discount code which I logged at it. Sent the driver on the other side of the block, which cost me at least a few more minutes ride. Never getting again!
            ",1,NEGATIVE,0.9999240636825562,NEGATIVE,0.999992847442627
41,"

                        Driver drove off with my belongings as…
                
","
                Driver drove off with my belongings as I was taking them out, was absolutely disrespectful keeps hanging up the phone when i callhim for my belongings. Completely stole them and went away.
            ",1,NEGATIVE,0.5774631500244141,NEGATIVE,0.9993833303451538
42,"

                        Awful Fraudulent  company
                
","
                Awful company. 20 minutes after signing up and using my account to pay, £161 came out of my bank into a “GoFndMe, Help India” which is obviously a front. Luckily my bank was able to help me, but they also managed to sneak another £162 before my card was cancelled. It was the only thing I have signed up to for weeks, so you cannot tell me it’s just a coincidence.
            ",1,NEGATIVE,0.999826967716217,NEGATIVE,0.9999903440475464
43,"

                        Very bad service from ola I use it…
                
","
                Very bad service from ola I use it almost everyday and long journeys. Today I took a cab ride which was suppose to take 40 mins but took an 1 hour 10 and wanted to book second drop for my brother to get to work and the driver drove off so my brother was late to work. Driver didn't even know where he was going and driving off after first drop was Completely uncalled for after making my brother late and me late. Worse experience ever. On top of this I lost hours at work. Will demand explanation for this.
            ",1,NEGATIVE,0.9996509552001953,NEGATIVE,0.9999923706054688
44,"

                        Maha baiman companyMaha baiman company, customer ko lutthe hi. Cab driver cancel kerta hi paisa customer se lete hi. Chester ...Cheeter.... Dont go for OlA.
                
","
                Maha baiman company, customer ko lutthe hi. Cab driver cancel kerta hi paisa customer se lete hi. Chester ...Cheeter.... Dont go for OlA.
            ",1,NEGATIVE,0.9999538660049438,NEGATIVE,0.9998743534088135
45,"

                        i just complained about a driver that…
                
","
                i just complained about a driver that tried to run me over they blocket my Account 🤣😂 yeah any Woman  Aviod OLA taxi at alll cost!!!!
            ",1,NEGATIVE,0.999671220779419,NEGATIVE,0.9998283386230469
46,"

                        i booked cab mandhana to kanpur cetral…
                
","
                i booked cab mandhana to kanpur cetral on 31/03/2021 but driver cancelled booking last time without any information. i am reached  and wait...ola very bad service provide..
            ",1,POSITIVE,0.6260687112808228,NEGATIVE,0.9996850490570068
47,"

                        Worst company ever
                
",,1,NEGATIVE,0.999991774559021,,
48,"

                        Pathetic service
                
","
                Pathetic service, they impose irregular fare  charge and complaint tickets are never resolved!!
            ",1,NEGATIVE,0.9990513920783997,NEGATIVE,0.9998642206192017
49,"

                        I took a 2 hour outstation drop ride…
                
","
                I took a 2 hour outstation drop ride starting at around 545 am. The extra charges were as under:Additional Time Fare* (for trip exceeding one hour), 1 hour x ₹100/hour = ₹100Night Time Allowance: ₹200 x 1 night =  ₹200Driver Allowance: ₹250 x 1 day = 250So I am charged night time time allowance + day time allowance + an extra hour for a 2-hour drive?? All this in addition to 18 Rs/km for 95km!! Why do I feel like I am being totally overcharged??
            ",3,NEGATIVE,0.6799783110618591,NEGATIVE,0.9874597787857056
50,"

                        Very bad service
                
",,1,NEGATIVE,0.9996427297592163,,
51,"

                        Always shows route goes from long.
                
","
                Always shows route goes from long.. instead short. Toll charges & parking fee charges shows later after drop at the location. Very bad experience. Driver always ask to pay on personal number instead pay to ola.
            ",1,NEGATIVE,0.8874140381813049,NEGATIVE,0.999966025352478
52,"

                        The driver demanded extra money from me…
                
","
                The driver demanded extra money from me and the company customer care also dint help me out..nonsense ppl and drivers its not safe driver was v rude ..i had actually taken outstation ride and extra money was demanded by the ola driver and fine i paid fr toll tats completely okay but extra on bill i was demanded and no good response from the company customer worst worst worst care ever
            ",1,NEGATIVE,0.9915879368782043,NEGATIVE,0.999992847442627
53,"

                        A very bad is Ola app I have a…
                
","
                A very bad is Ola app I have a complaint about your driver of Ola auto we booked  and he has confirmed the booking and after that said he will not come and when we told to cancel he was not cancelling he wasted our time and spoiled are mood too .
            ",1,NEGATIVE,0.9987733960151672,NEGATIVE,0.9999915361404419
54,"

                        Chot hai kamine
                
",,1,POSITIVE,0.7134972214698792,,
55,"

                        This is to inform you all on 13-03-2021…
                
","
                This is to inform you all on 13-03-2021 i booked Ola rental package (CRN- 5264540959) for 04 hours in 649rs. My ride completed in 39.8km in154 min. According to package my bill was 649 + 59.32 taxes . And Ola charged me 908rs. They charged 200rs extra from me and which was totally fraud by Ola. I put a mail to them but no one responding my mail. Its not expected by such a reputated company.
            ",1,POSITIVE,0.9781883955001831,NEGATIVE,0.9999607801437378
56,"

                        The WORST service
                
","
                Recently started with drivers taking up elongated route and charging high.
            ",1,NEGATIVE,0.9999754428863525,POSITIVE,0.9596160054206848
57,"

                        Very Poor Service
                
","
                Very Poor Service, No COVID guide getting followed. Driver is rude , almost all driver asks after booking to cancel and give some extra money to drop to the destination. Paretic complaint handling ,,, no response n
            ",1,NEGATIVE,0.9998056292533875,NEGATIVE,0.9999539852142334
58,"

                        I believe ola should start special ride…
                
","
                I believe ola should start special ride for pregnant ladies. Where they should allow drivers to such drivers who extremely careful while driving. In India everyone cannot effort 4 wheeler during pregnancy a lady would like use  comfortable and safe mode of transportationThey do a advertising where people should get to about it.
            ",3,POSITIVE,0.9704208374023438,NEGATIVE,0.983070433139801
59,"

                        I used Ola Service in 2018 and the…
                
","
                I used Ola Service in 2018 and the phone number was now used by someone else becz i leave india and moved to Uk at the end of 2018 . Now someone who using Ola service and my previous indian mb number they send the email to me about the trip . whats going on atleast you have to update your database which person is using your services and you sending email to me . I am Uk From last 2 years and received these email .
            ",1,POSITIVE,0.8411824703216553,NEGATIVE,0.8422775268554688
60,"

                        Scam!
                
","
                Booked, watched the driver go the wrong way, I contacted him to ask why he was going a different way and he cancelled the ride and kept the money. Such a scam!
            ",1,NEGATIVE,0.9998811483383179,NEGATIVE,0.9999125003814697
61,"

                        It's biggest froud
                
","
                It's biggest froud. Not response to customer service. It's cheet of every person.
            ",1,POSITIVE,0.5837886929512024,NEGATIVE,0.9998726844787598
62,"

                        Approach Consumer Court for Olacab…
                
","
                Approach Consumer Court for Olacab frauds.
            ",1,NEGATIVE,0.5144976377487183,NEGATIVE,0.9407828450202942
63,"

                        They charged me Rs.100 for cancelations…
                
","
                They charged me Rs.100 for cancelations unnecessarily.  I requested customer support to remove this fare but I paid the money forcefully as I was unaware of it and already booked the ride. Worst experience with you. Never gonna use your application again in future .uber is better than you they never charged more than rs.20 for cancelations.  But maybe you can make rs.1k for cancelations someday. Not at all co operative .Uninstalling ur app forever.
            ",1,NEGATIVE,0.9934048056602478,NEGATIVE,0.999996542930603
64,"

                        …Sir when I ask your driver why to add waiting charges he abuses me.            Kindly i request you Please do something he insulted me.   I have recording with driver talking
                
","
                Sir when I ask your driver why to add waiting charges he abuses me.      Kindly i request you Please do something he insulted me. I have recording with driver talking
            ",1,NEGATIVE,0.9643719792366028,NEGATIVE,0.9917299151420593
65,"

                        Lot of Fraud
                
","
                Lanjakoduku Rs 50 extra vesaadu without intimating.
            ",1,NEGATIVE,0.9997647404670715,POSITIVE,0.8340166807174683
66,"

                        Driver did not arrive to pick up as…
                
","
                Driver did not arrive to pick up as promised. He kept postpone and caused me can not catch up to bus to Sydney from Canberra in the morning. Will not use Ola again.
            ",1,NEGATIVE,0.8127203583717346,NEGATIVE,0.9999212026596069
67,"

                        Their location logics are super flop…
                
","
                Their location logics are super flop while billing a customer just 10 mtrs ahead and charges are extra 30 rs
            ",1,NEGATIVE,0.9999806880950928,NEGATIVE,0.9998911619186401
68,"

                        I’m also Ola driver base in U.K  we…
                
","
                I’m also Ola driver base in U.K  we ment to get paid every next day for rides you do bt now I haven’t been pay for last 3 weeks rides there’re bunch of liars thieves they don’t care about there drivers or riders I don’t recommend anyone to ride or drive with them pour customer service they shouldn’t be allow to operate in U.K
            ",1,POSITIVE,0.9903513789176941,NEGATIVE,0.9977879524230957
69,"

                        Ola driver refused to switch ON AC from…
                
","
                Ola driver refused to switch ON AC from Chatrapati Shivaji Maharaj International Airport stating that no driver switches on AC from Airport. Also emphasized that if it's an online payment then cancel your ride. Charged 200 Rs extra, ola's customer care did not respond.
            ",1,NEGATIVE,0.996428906917572,NEGATIVE,0.9999072551727295
70,"

                        It's not just customers who are fed up…
                
","
                It's not just customers who are fed up with ola .I am a driver for ola we should be paid next day for the jobs we due but its been nearly two weeks and I haven't been paid .Ola should be ashamed of their conduct and people use another company these guys are lairs and cheat!!!
            ",1,NEGATIVE,0.99505615234375,NEGATIVE,0.9999898672103882
71,"

                        I had a horrible experience with Ola
                
","
                I had a horrible experience with Ola. My customer ride number is CRN5248168037I was traveling alone and had to go to Apollo Gleneagles Hospital. I gave the right location but the driver dropped me off at a completely different location. I tried calling customer care almost 10 times but I couldn’t get connected. I even raised a Security concern from the Ola app during the ride but I got a call back from the Security desk almost 1 hour after my trip ended. After the driver dropped me at a totally different location I had to pay him ₹250 and then had to take another cab to reach my destination. Later when I finally got connected to the customer care agent she said they can’t do anything if the driver dropped you at the wrong location it is Google Map’s fault not theirs. I said I want a full refund because this is their App’s issue but she said we can’t give you anything and started shouting and arguing with me. I am never booking an Ola again and would advise everyone to do the same.
            ",1,NEGATIVE,0.9999884366989136,NEGATIVE,0.9999784231185913
72,"

                        No cooling at all
                
","
                No cooling at all. Useless ride from Goregaon to virar. Waste of money
            ",1,NEGATIVE,0.999064028263092,NEGATIVE,0.9999887943267822
73,"

                        Driver Nelakanti Srikanth Is a cheat and Ola Supports him
                
","
                I had a ride taken which was out of station from Hyd-Wgl. In the midway of the trip i made a payment on the app(Rs 2500) and my price is changed once i got down(Rs 3500 extra 1000) which was explained due to the tolls and all. Once the driver(Nelakanti Srikanth) dropped me off he asked me to pay the whole amount in cash not just the balance and he will cancel my earlier online payment and i will get the money back in 2 days as he needs money to refuel the petrol and go back to Hyd. I felt his point made sense and paid 3500Rs in cash to him its been 3 weeks and i havent received my money yet and whenever i create a ticket they say they spoke to the driver and he told he didnt take any additional cash. I am robbed off 2500 rupees and everyone is lying in here. Its so pathetic that the driver(nelakanti Srikanth) mentioned that he didnt take any extra money when he actually did. I am sure everything will be seen by God and he will be punished accordingly for cheating people. My suggestion to everyone is never take a Ride with Ola and even if you had to make sure your driver isnt Nelakanti Srikanth who is a cheat
            ",1,NEGATIVE,0.5827042460441589,NEGATIVE,0.9999909400939941
74,"

                        Never use this cab company,toke money…
                
","
                Never use this cab company,toke money out of my account for no reason,and it toke 7days to get my money back.am deleting the app off my phone 🤬🤬🤬
            ",1,NEGATIVE,0.9982238411903381,NEGATIVE,0.9999728202819824
